Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

MHz;ITU;Program;Location;Reg;kW;QRB km;QTF;O;Date;RDS;PI;PS;Remarks
92,80;I;Radio Studio Delta;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;400;12;230;;19.08.24;X;53FB ;'StDelta;;
92,90;I;Veronica MyRadio;Pesaro/Frazione Novilara-Strada Leccia;pu;3.2;62;120;;30.01.25;;5128 ;VERONICA;;
92,90;I;Radio Deejay;Baone/Monte Cero-consorzio;pd;50.1;132;340;;28.08.25;;5214 ;_DEEJAY_;;
92,90;SVN;Radio Prvi;Nanos;po;50;231;37;;28.04.26;;9201 ;__PRVI__;;
93,00;I;Radio Gamma (Romagna);Castel San Pietro Terme/Monte Calderaro-Chiesa di San Martino;bo;25.1;65;292;;19.08.24;X;5843 5743;R_GAMMA_;;
93,10;I;RDS;Gemmano/Monte Gardo;rn;40;37;135;;19.08.24;X;5264 ;*_RDS_*_;;
93,10;I;Radio Bellla e Monella;Fumane/Monte Pastello-3-sud;vr;20;194;326;;31.05.25;;5370 ;BELLLA_E _MONELLA;;
93,20;I;Radio Maria;Brisighella/Monte Bicocca;ra;6.3;37;283;;29.01.25;;51CC ;R.MARIA_;;
93,20;I;Delta Radio;Baone/Monte Cero-consorzio;pd;20;132;340;;21.09.24;;5A69 ;DELTA_R.;;
93,20;HRV;HRT-HR 3;Buje/Monte Cura;pa;1;180;38;;23.09.24;;C203 ;HRT-HR_3;;
93,30;I;Radio Radicale;Pesaro/Frazione Novilara-Strada Leccia;pu;4;62;120;;21.12.25;;5210 ;RADIO_*_ RADICALE;;
93,30;I;RAI Radio1 Emilia Romagna;Ferrara/Via Aranova (RAI);fe;12.6;93;326;;15.05.25;;5201 ;*Radio1_;;
93,40;I;RAI Radio2;Bertinoro/Monte Maggio (RAI);fc;25;9;272;;09.08.24;X;5202 ;*Radio2_;;
93,50;I;Radio Company;Fumane/Monte Pastello-1;vr;158.5;194;326;;15.05.25;;5350 5950;'COMPANY;;
93,50;SVN;Val 202;Krim;lj;5;265;41;;08.01.26;;9202 ;VAL_202_;;
93,60;I;RDS;Pesaro/Frazione Novilara-Strada Leccia;pu;5;62;120;;26.01.25;;5264 ;*_RDS_*_;;
93,60;I;RAI GR Parlamento;Bologna/Colle Barbiano (RAI);bo;31.6;80;297;;15.12.24;;0000 ;RAI-GRPR;;
93,60;I;Radio Mater-inBlu;Ancona/Località Paterno-Via del Cimitero;an;25.1;113;124;;07.08.25;;5158 ;R._MATER;;
93,70;I;Radio Record;Borghi/San Giovanni in Galilea;fc;7.9;18;151;;19.08.24;X;5E21 ;*RECORD*;;
93,80;I;Radio Piper;Caneva/Col Gaiardin-Borgo Santin;pn;50.1;208;4;;02.06.25;;53FA ;_PIPER__;;
93,80;I;Radio Bergamo;Strozza/Località Roncola-Via Botto;bg;15.8;278;312;;07.08.25;;5230 ;*R.BG_70;;
93,90;I;Radio 105;Verghereto/Monte Fumaiolo;fc;;42;200;;26.01.25;;5211 ;__105___;;
93,90;I;RAI Radio3;Bologna/Colle Barbiano (RAI);bo;63.1;80;297;;01.10.24;;5203 ;*Radio3_;;
93,90;I;Radiofreccia;Faedis/Borgo Costalunga;ud;31.6;241;21;;07.05.26;;5293 ;_FRECCIA;;
94,00;I;RMC - Radio Monte Carlo;Verucchio/Monte Ventoso-sud;rn;15.8;25;143;;19.08.24;X;5213 ;__RMC___;;
94,00;I;Radio Italia Anni 60 (Emilia Romagna-Marche);Ravenna/Località Camerlona-Via Bagarina;ra;12.6;34;348;;15.12.24;;5495 ;R.ITALIA ANNI_60_;;
94,10;I;Radio Riviera Dolcissima;Misano Adriatico/Torre Piezometrica;rn;1;40;117;;21.12.25;;5346 ;RIVIERA_;;
94,10;SVN;Val 202;Beli Kriz;kp;5;186;34;;28.04.26;;9202 ;VAL_202_;;
94,10;I;RDS;Fumane/Monte Pastello-2-est;vr;50.1;194;327;;15.12.24;;5264 ;*_RDS_*_;;
94,20;I;Radio Cesena;Cesena-Tessello/Monte dei Feriti;fc;2;9;237;;23.04.25;;5846 ;CESENA;;
94,20;I;Radio Birikina;Attimis/Località Porzus 2;ud;100;243;21;;07.05.26;;536E ;BIRIKINA;;
94,30;I;R101;Firenzuola/Monte Oggioli;fi;63.1;74;273;;03.02.25;;5215 ;__R101__;;
94,30;I;Radio 80;Baone/Monte Cero-consorzio;pd;12.6;132;340;;15.05.25;;535A 575A;'RADIO80;;
94,30;I;Radio Deejay;Vittorio Veneto/Fais/Borgo Trubian;tv;1.6;210;1;;07.05.26;;5214 ;_DEEJAY_;;
94,40;I;Radio Centrale;Montescudo-Monte Colombo/Monte Godio;rn;40;33;137;;19.08.24;X;5842 ;CENTRALE;;
94,40;I;Radio Company;Velo Veronese/Monte Stoltz;vr;100;186;331;;02.02.25;;5350 5750;'COMPANY;;
94,43;I;Radio Maria;Romano d'Ezzelino/Località Costalunga-Via Alberico da Romano, 8;vi;50.1;190;348;;15.12.24;;51CC ;R.MARIA_;;
94,50;I;Radio Maria;Modigliana/Monte Trebbio;fc;1;33;270;;21.09.24;;51CC ;R.MARIA_;;
94,50;I;m2o;Bologna/Colle Barbiano-Via Santa Liberata, 4;bo;15.8;80;297;;03.02.25;;5233 ;_M_DUE_O;;
94,50;I;Radio Subasio;Ancona/Forte Montagnolo-Via del Golfo;an;10;116;121;;21.12.25;;53FD 58FD;SUBASIO_;;
94,60;I;Radio Gamma (Romagna);Ravenna/Via Reale;ra;5;34;348;;21.09.24;;5843 5543;R_GAMMA_;;
94,60;I;Radio Dolce Vita;Ferrara/Via Aranova, 25;fe;10;93;326;;15.05.25;;5000 ;FERRARA_;;
94,60;I;Radio Gemini;Padova/Viale della Navigazione Interna, 9;pd;12.6;143;350;;16.12.24;;53B5 ;ITALIA_1;;
94,70;I;Radio Italia SoloMusicaItaliana;Imola/Via Pediano;bo;16;47;296;;18.01.25;;5220 ;R_ITALIA;;
94,70;I;RAI Radio1 Marche;Piobbico/Monte Nerone (RAI);pu;100;68;161;;15.12.24;;5201 5401;*Radio1_;;
94,80;I;Radio Deejay;Bassano del Grappa/Contrada Pizzati, 43/A;vi;251.2;190;346;;15.02.26;;5214 ;_DEEJAY_;;
94,90;I;Radio Bruno;Bertinoro/Monte Maggio;fc;79.4;9;272;;19.08.24;X;534D 544D;'R.BRUNO;;
95,00;I;Radio Evangelo (Rimini);Verucchio/Monte Ventoso-sud;rn;2;25;143;;25.02.26;;504A ;Evangelo Rimini__;;
95,00;I;Radio Stereocittà;Bassano del Grappa/Frazione Rubbio-Via Monte Caina, 19;vi;125.9;190;346;;04.05.26;;53C7 ;*STEREO_ *CITTA'_;;
95,10;I;Radio Italia SoloMusicaItaliana;Verghereto/Monte Fumaiolo;fc;0.004;42;200;;15.12.24;;5220 ;R_ITALIA;;
95,10;I;RAI Radio2;Riolo Terme/Casola Valsenio (RAI);ra;1.58;49;286;;16.04.25;;5202 ;*Radio2_;;
95,10;HRV;HRT-HR 1;elevac;zd;80;282;86;;19.04.26;;C201 ;HRT-HR_1;;
95,20;I;Radio Italia Anni 60 (Emilia Romagna-Marche);Sassofeltrio/Monte San Paolo-nord;rn;100;33;152;;19.08.24;X;5495 ;R.ITALIA ANNI_60_;;
95,30;I;Radio Subasio;Pianoro/Monte Calvo;bo;25.1;76;295;;18.01.25;;53FD ;SUBASIO_;;
95,30;I;Radio Cafè;Bassano del Grappa/Frazione Rubbio-Via Monte Caina, 19;vi;320;190;346;;09.03.25;;53C8 53A6;.R.CAFE';;
95,30;I;Radio 24;Affi/Monte Moscal-Via Casette c/o Cave di Pietra;vr;31.6;196;324;;03.02.25;;5245 ;RADIO_24;;
95,30;SVN;Val 202;Nanos;po;50;231;37;;15.12.24;;9202 ;VAL_202_;;
95,40;I;Radio Deejay;Comacchio/Lido degli Estensi-Viale Carducci, 147-grattacielo California;fe;25.1;59;360;;08.08.25;;5214 ;DEEJAY__;;
95,50;I;Radio Studio Piu Riviera Adriatica;Meldola/Rocca delle Caminate;fc;63.1;20;263;;31.05.25;;521A ;#STUDIO+;;
95,50;I;Radio Studio Piu;Ravenna/Località Camerlona-Via Bagarina;ra;20;34;348;;19.08.24;X;521A ;#STUDIO+;;
95,60;I;Virgin Radio;Baone/Monte Cero-consorzio;pd;31.6;132;340;;15.12.24;;5241 ;_VIRGIN_;;
95,60;SVN;Radio Capris;Hrvatini 3/Kastelir;kp;0.5;201;36;;09.03.26;;9412 ;_CAPRIS_;;
95,70;I;RDS;Castel San Pietro Terme/Monte Calderaro-Chiesa di San Martino;bo;15.8;65;292;;19.08.24;X;5264 ;*_RDS_*_;;
95,70;I;Virgin Radio;Bassano del Grappa/Contrada Pizzati, 43/A;vi;100;190;346;;08.12.25;;5241 ;_VIRGIN_;;
95,80;I;Radio Maria;Rimini/San Fortunato;rn;5;27;117;;21.09.24;;51CC ;R.MARIA_;;
95,80;I;RAI Radio3;Trieste/Monte Belvedere (RAI);ts;25;210;35;;28.08.25;;5203 5403;*Radio3_;;
95,90;I;Radio LatteMiele (Emilia Romagna);Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;63.1;12;230;;19.08.24;X;5355 5755;LATMIELE;;
96,00;I;Radio Company;Bassano del Grappa/Frazione Rubbio-Via Monte Caina, 22;vi;631;190;346;;15.12.24;;5350 5650;'COMPANY;;
96,10;I;Delta Radio (Rimini);Montescudo-Monte Colombo/Monte Godio;rn;25.1;33;137;;21.09.24;;3069 ;_DELTA__ _RADIO__ TEL.0541 _756222_;;
96,10;SVN;ARS;Beli Kriz;kp;5;186;34;;08.08.25;;9203 ;__ARS___;;
96,10;I;m2o;Avio/Malga Riondera;tn;0.13;203;331;;26.12.24;;5233 ;_M_DUE_O;station id;
96,10;I;Radio Piterpan;Faedis/Località Valle-Pedrosa-Costalunga;ud;40;242;21;;24.04.26;;5373 ;PITERPAN;;
96,20;I;RAI Radio2;Sogliano al Rubicone/Mercato Saraceno (RAI);fc;1.26;24;191;;21.09.24;;5200 5402;*Radio2_;;
96,20;I;Radio Marilu;Negrar/Via Case Bertolini, 14;vr;40;184;328;;15.12.24;;538A ;_Marilu';;
96,20;I;Radiofreccia;Romano d'Ezzelino/Località Costalunga-Monte Lagusella (B);vi;100;190;348;;09.08.25;;5293 ;_FRECCIA;;
96,25;I;Radio Milano Tv;Predappio/Rocca delle Camminate;fc;63.1;19;262;;21.09.24;;FFFF ;[noRDS_];;
96,30;I;Radio Maria;Peglio/San Donnino-Cà Silvotto;pu;4;53;156;;21.09.24;;51CC ;R.MARIA_;;
96,30;I;Radio Italia Anni 60 (Emilia Romagna-Marche);Firenzuola/Monte Oggioli;fi;1.6;74;273;;14.05.25;;5495 ;R.ITALIA ANNI_60_;;
96,30;I;Radio Subasio;Bologna/Colle dell'Osservanza-Via Osservanza, 35/2;bo;1.3;82;298;;16.04.25;;53FD ;SUBASIO_;;
