Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

kHz;ITU;Program;Location;Reg;kW;QRB;QTF;O;Date;Remarks
954,00;CZE;Country Radio;Ceske Budejovice/Husova kolonie;JC;5;566;17;;04.10.24;// stream
954,00;E;Onda Cero Madrid;Madrid/Villanueva del Pardillo;MAD-M;50;1391;259;;04.10.24;
963,00;TUN;RTT Chaine Internationale;Tunis/Djedeida;tun;100;835;194;;04.10.24;// stream, es
972,00;E;RNE Radio Nacional Córdoba;Cabra/La Paz;AND-CO;4;1586;248;;04.10.24;
981,00;ALG;Chaine 2;Alger/Ouled Fayet;16;100;1138;227;;04.10.24;// stream
990,00;E;SER Radio Bilbao;Bilbao/Monte Artxanda;PVA-BI;25;1221;271;;04.10.24;
999,00;E;COPE Madrid;Madrid/Majadahonda;MAD-M;50;1382;258;;11.01.26;
999,00;MDA;Radio Rossii;Grigoriopol/Maiac;P-GR;1000;1377;69;;04.10.24;// stream
1 017,00;E;RNE Radio 5 Burgos;Burgos/San Bartolome;CAL-BU;10;1305;267;;04.10.24;
1 017,00;I;Amica Radio Veneta;Peraga di Vigonza;pd;1;146;351;;30.09.24;// stream
1 026,00;IRN;IRIB Radio Tabriz;Azarshahr;eaz;200;2882;92;;21.12.25;
1 026,00;E;SER Ràdio Reus;Tarragona/Reus;CAT-T;5;971;254;;04.10.24;
1 035,00;EST;Radio Eli;Tartu/Pajukurmu;Tar;100;1885;27;;04.10.24;id
1 044,00;E;SER Radio San Sebastian;San Sebastian/Monte Igueldo;PVA-SS;25;1147;270;;04.01.26;
1 053,00;G;TalkSport;Droitwich/Mast C-D;EN-WOR;150;1393;316;;21.12.25;
1 053,00;E;COPE Zaragoza;Zaragoza/San Gregorio;ARA-Z;20;1100;260;;04.10.24;
1 071,00;IRN;IRIB Radio Ma'aref;Qom;qom;100;3442;94;;21.12.25;
1 071,00;I;Voglia di Radio;Piove di Sacco;pd;1;130;353;;30.09.24;id
1 080,00;E;SER Radio Huesca;Huesca;ARA-HU;5;1043;262;;04.10.24;id radio huesca
1 089,00;G;TalkSPORT;Brookmans Park/North T aerial;EN-HTS;150;1250;317;;04.10.24;
1 098,00;ARS;SBA Radio Jeddah;Dammam;shy;100;3905;107;;04.10.24;// stream
1 098,00;E;RNE Radio 5 Almería;Almería/Roquetas de Mar (RNE);AND-AL;25;1502;242;;04.10.24;
1 107,00;E;RNE Radio 5 Logroño;Logroño/La Grajera (RNE);RIO-LO;25;1207;266;;04.10.24;
1 116,00;HNG;Dankó Radió;Mosonmagyaróvar;GMS;5;567;42;;22.12.25;
1 116,00;E;SER Radio Albacete;Albacete;CAM-AB;10;1300;249;;04.10.24;
1 125,00;E;RNE Radio 5 Vitoria;Vitoria/Berrosteguieta;PVA-VI;10;1214;268;;04.10.24;
1 125,00;E;RNE Radio 5 Castellón;Castellon / Muelle Pesquera;VAL-CS;10;1113;249;;04.10.24;
1 134,00;KWT;Radio Kuwait Main Arabic prgr.;Kabd/Sulaibiyah;jah;100;3544;106;;21.12.25;
1 143,00;E;COPE Jaen;Jaen;AND-J;5;1513;248;;04.10.24;
1 152,00;ROU;SRR Radio Romania Actualitai;Cluj-Napoca/Jucu;CJ;200;950;67;;04.10.24;
1 170,00;SVN;Radio Capodistria;Beli Kriz;kp;15;186;34;;30.09.24;
